Programme,Session,Year,Date,Host,File Type,File Name,Completion,Drive Link,,Issues,OPS Feedback,,,
PEA 2024,Midmonth Mentoring (MMM),2024,17 April 2024,Josh Keegan,Transcript,PEA Apr 2024 MMM - Transcript,,,,,,,,
PEA 2024,Midmonth Mentoring (MMM),2024,15 May 2024,Adam Goff,Video,PEA May 2024 MMM - Video,Done-M,https://drive.google.com/file/d/1aUZQ6fOLJOE9VgJirysQ1Xp0twcl6JRy/view?usp=drive_link,,,,,,yes
PEA 2024,Midmonth Mentoring (MMM),2024,15 May 2024,Adam Goff,Transcript,PEA May 2024 MMM - Transcript,,,,,,,,
PEA 2024,Midmonth Mentoring (MMM),2024,01 June 2024,,Video,PEA Jun 2024 MMM - Video,,,,,,,,
PEA 2024,Midmonth Mentoring (MMM),2024,01 June 2024,,Transcript,PEA Jun 2024 MMM - Transcript,,,,,,,,
PEA 2024,Midmonth Mentoring (MMM),2024,17 July 2024,Josh Keegan,Video,PEA Jul 2024 MMM - Video,Done-M,https://drive.google.com/file/d/1Llk3iBhRHNkk6hv7zpYdfWWOJNOowxZl/view?usp=drive_link,,,,,,yes
PEA 2024,Midmonth Mentoring (MMM),2024,17 July 2024,Josh Keegan,Transcript,PEA Jul 2024 MMM - Transcript,,,,,,,,
PEA 2024,Midmonth Mentoring (MMM),2024,14 August 2024,Chris Moss,Video,PEA Aug 2024 MMM - Video,Done-M,https://drive.google.com/file/d/1OULfkUQigTMIhVfz-a-tewnCiIPmLzLZ/view?usp=drive_link,,,,,,yes
PEA 2024,Midmonth Mentoring (MMM),2024,14 August 2024,Chris Moss,Transcript,PEA Aug 2024 MMM - Transcript,,,,,,,,
PEA 2025,Midmonth Mentoring (MMM),2024,23 October 2024,Adam Goff,Video,PEA Oct 2024 MMM - Video,Done-A,https://drive.google.com/file/d/1iGNF16VeTOr5mSvGrbMutDzFjB2xdG1T/view?usp=drive_link,,,,,,yes
PEA 2025,Midmonth Mentoring (MMM),2024,23 October 2024,Adam Goff,Transcript,PEA Oct 2024 MMM - Transcript,,,,,,,,
PEA 2025,Midmonth Mentoring (MMM),2024,20 November 2024,Josh Keegan,Video,PEA Nov 2024 MMM - Video,Done-A,https://drive.google.com/file/d/1kD1bDYL2kJHUMyTs83OOEf9WsfrJ--jd/view?usp=drive_link,,,,,,yes
PEA 2025,Midmonth Mentoring (MMM),2024,20 November 2024,Josh Keegan,Transcript,PEA Nov 2024 MMM - Transcript,,,,,,,,
PEA 2025,Midmonth Mentoring (MMM),2024,18 December 2024,Shiv Haria,Video,PEA Dec 2024 MMM - Video,Done-A,https://drive.google.com/file/d/1PaY8KPRDBWfiB6sNBwGAqx6-COl56mKE/view?usp=drive_link,,,,,,yes
PEA 2025,Midmonth Mentoring (MMM),2024,18 December 2024,Shiv Haria,Transcript,PEA Dec 2024 MMM - Transcript,,,,,,,,
PEA 2025,Midmonth Mentoring (MMM),2025,22 January 2025,Chris Moss,Video,PEA Jan 2025 MMM - Video,Done-A,https://drive.google.com/file/d/11u1hA9EI112pAbpZc3sWN-ORVY2hDTPG/view?usp=drive_link,,,,,,Yes
PEA 2025,Midmonth Mentoring (MMM),2025,22 January 2025,Chris Moss,Transcript,PEA Jan 2025 MMM - Transcript,,,,,,,,
PEA 2025,Midmonth Mentoring (MMM),2025,19 February 2025,Josh Keegan,Video,PEA Feb 2025 MMM - Video,Done-A,https://drive.google.com/file/d/1tS5qMnd2iatvmZS-wG1hlB7f52BAMWpx/view?usp=drive_link,,,,,,yes
PEA 2025,Midmonth Mentoring (MMM),2025,19 February 2025,Josh Keegan,Transcript,PEA Feb 2025 MMM - Transcript,,,,,,,,
PEA 2025,Midmonth Mentoring (MMM),2025,19 March 2025,Shiv Haria,Video,PEA Mar 2025 MMM - Video,Done-A,https://drive.google.com/file/d/1eYprP83hAN9Q1vF85irJn8DOGR5z8cst/view?usp=drive_link,,,,,,yes
PEA 2025,Midmonth Mentoring (MMM),2025,19 March 2025,Shiv Haria,Transcript,PEA Mar 2025 MMM - Transcript,,,,,,,,
PEA 2025,Midmonth Mentoring (MMM),2025,23 April 2025,Josh Keegan,Video,PEA Apr 2025 MMM - Video,Done-A,https://drive.google.com/file/d/1sLtMWe2_haQZ4TD7n_3LQsLbGxXult2X/view?usp=drive_link,,,,,,yes
PEA 2025,Midmonth Mentoring (MMM),2025,23 April 2025,Josh Keegan,Transcript,PEA Apr 2025 MMM - Transcript,,,,,,,,
PEA 2025,Midmonth Mentoring (MMM),2025,14 May 2025,Chris Moss,Video,PEA May 2025 MMM - Video,Done-A,https://drive.google.com/file/d/1T6LfpSaLOdd_VVwwAscJ8arUhPonRzYf/view?usp=drive_link,,,,,,yes
PEA 2025,Midmonth Mentoring (MMM),2025,14 May 2025,Chris Moss,Transcript,PEA May 2025 MMM - Transcript,,,,,,,,
PEA 2025,Midmonth Mentoring (MMM),2025,18 June 2025,Josh Keegan,Video,PEA Jun 2025 MMM - Video,Done-A,https://drive.google.com/file/d/1cz7P80tVkDWMUOlJc6D2uWYuFu8ADid0/view?usp=drive_link,,,,,,
PEA 2025,Midmonth Mentoring (MMM),2025,18 June 2025,Josh Keegan,Transcript,PEA Jun 2025 MMM - Transcript,,,,,,,,
