Programme,Workshop,Session #,Date,Host,Topic,File Type,File Name,Drive Link,Completion,,,Issues,OPS Feedback
LAUNCH SUPEREVENT PEP 2025,1,2,30 October 2024,Chris Moss,The Long Game & Level Up,Video,MWM Oct 2024 - Session 02 - Video,https://drive.google.com/file/d/1qRgXAJI0j_AU0YSNUCfWRR483WXaDo-s/view?usp=drive_link,Done-A,OK,,,
LAUNCH SUPEREVENT PEP 2025,1,2,30 October 2024,Chris Moss,The Long Game,Transcript,MWM Oct 2024 - Session 02 - Transcript,,Done-A,,,,
PEP 2025,2,1,13 November 2024,Chris Dornan,Year Of,Video,MWM Nov 2024 - Session 01 - Video,https://drive.google.com/file/d/1AVN9z9DC2JN8U7aavgGQK-KKECNIqlU4/view?usp=drive_link,Done-A,OK,,,
PEP 2025,2,1,13 November 2024,Chris Dornan,Year Of,Transcript,MWM Nov 2024 - Session 01 - Transcript,,Done-A,,,,
PEP 2025,2,2,27 November 2024,Matt Dolman,Headline Strategy,Video,MWM Nov 2024 - Session 02 - Video,https://drive.google.com/file/d/1Ce1odxhA23sN9Yzi6Nm1wVNU4DbSdDk6/view?usp=drive_link,Done-A,OK,,Natalie carter is not the host Matt Dolman is the host,Incorrect on Schedule - Session hosted by Matt Dolman - Updated host name in Column E
PEP 2025,2,2,27 November 2024,Matt Dolman,Headline Strategy,Transcript,MWM Nov 2024 - Session 02 - Transcript,,,,,,
PEP 2025,3,1,04 December 2024,Katie Harvey,The Winter Hit List,Video,MWM Dec 2024 - Session 01 - Video,https://drive.google.com/file/d/1FtHGbvOtxvLiOtqQheZNtMVR8yG5uPDr/view?usp=drive_link,Done-A,OK,,,
PEP 2025,3,1,04 December 2024,Katie Harvey,The Winter Hit List,Transcript,MWM Dec 2024 - Session 01 - Transcript,,,,,,
PEP 2025,3,2,11 December 2024,Rachael Davis,The Strategy Day Blueprint,Video,MWM Dec 2024 - Session 02 - Video,https://drive.google.com/file/d/1wn7tcgHvOWnCTiLVfK2fEhpPgL9cu--b/view?usp=drive_link,Done-A,OK,,,
PEP 2025,3,2,11 December 2024,Rachael Davis,The Strategy Day Blueprint,Transcript,MWM Dec 2024 - Session 02 - Transcript,,,,,,
PEP 2025,3,1,15 January 2025,Greg Piskozub,Winter Hit List Follow Up Q&A,Video,MWM Jan 2025 - Session 01 - Video,https://drive.google.com/file/d/1Iwr57YUdeDfJSVtnrp7nW1GAGScPX9ob/view?usp=drive_link,Done-A,OK,,,
PEP 2025,3,1,15 January 2025,Greg Piskozub,Winter Hit List Follow Up Q&A,Transcript,MWM Jan 2025 - Session 01 - Transcript,,,,,,
PEP 2025,4,2,29 January 2025,Richie Miller,The Art of Time Tracking,Video,MWM Jan 2025 - Session 02 - Video,https://drive.google.com/file/d/1JNAN8rNinoreyStMzm3AhPWNiqPwweIT/view?usp=drive_link,Done-A,OK,,,
PEP 2025,4,2,29 January 2025,Richie Miller,The Art of Time Tracking,Transcript,MWM Jan 2025 - Session 02 - Transcript,,,,,,
PEP 2025,4,1,12 February 2025,Gill Anderson,AI in 2025,Video,MWM Feb 2025 - Session 01 - Video,https://drive.google.com/file/d/1MsMXQZzhMdoedS6uBGTJR1ne8EByfhI3/view?usp=drive_link,Done-A,OK,,,
PEP 2025,4,1,12 February 2025,Gill Anderson,AI in 2026,Transcript,MWM Feb 2025 - Session 01 - Transcript,,,,,,
PEP 2025,5,2,26 February 2025,Josh Keegan,World Class Finance Function,Video,MWM Feb 2025 - Session 02 - Video,https://drive.google.com/file/d/1WcN2u3Z18P0fB-WyfYjbX0FwxWvd6pue/view?usp=drive_link,Done-A,NOPE,115420,,
PEP 2025,5,2,26 February 2025,Josh Keegan,World Class Finance Function,Transcript,MWM Feb 2025 - Session 02 - Transcript,,,,,,
PEP 2025,5,1,12 March 2025,Josh Keegan,Business Modelling,Video,MWM Mar 2025 - Session 01 - Video,https://drive.google.com/file/d/1A5tOlm42a9PSUhnqJWwnXi4Nac7zrYsF/view?usp=drive_link,Done-A,OK,,,
PEP 2025,5,1,12 March 2025,Josh Keegan,Business Modelling,Transcript,MWM Mar 2025 - Session 01 - Transcript,,,,,,
PEP 2025,6,2,26 March 2025,Shiv Haria,AGM Blueprint ,Video,MWM Mar 2025 - Session 02 - Video,https://drive.google.com/file/d/1w9fZ_ynNW3FEfaHk1nyFGM1EyODPu3Im/view?usp=drive_link,Done-A,OK,,,
PEP 2025,6,2,26 March 2025,Shiv Haria,AGM Blueprint ,Transcript,MWM Mar 2025 - Session 02 - Transcript,,,,,,
PEP 2025,6,1,16 April 2025,Shiv Haria,THE PERFECT PROFILE,Video,MWM Apr 2025 - Session 01 - Video,https://drive.google.com/file/d/13jl89GTLhs8ZxLGPo8Ytr1S-vu0IWCR1/view?usp=drive_link,Done-A,OK,,,
PEP 2025,6,1,16 April 2025,Shiv Haria,THE PERFECT PROFILE,Transcript,MWM Apr 2025 - Session 01 - Transcript,,,,,,
PEP 2025,7,2,30 April 2025,Richard Evans,World-class PA/VA,Video,MWM Apr 2025 - Session 02 - Video,https://drive.google.com/file/d/1OW1QRr0Il3saa8K9DMVoc_PP1nbUw4Up/view?usp=drive_link,Done-A,OK,,,
PEP 2025,7,2,30 April 2025,Richard Evans,World-class PA/VA,Transcript,MWM Apr 2025 - Session 02 - Transcript,,,,,,
PEP 2025,8,1,21 May 2025,Chris Dornan,Management Model,Video,MWM May 2025 - Session 01 - Video,https://drive.google.com/drive/folders/19XlPE9IHDRxA7oMoaZIAQaoe9T2XDoab?usp=drive_link,Done-A,OK,,,
PEP 2025,8,1,21 May 2025,Chris Dornan,Management Model,Transcript,MWM May 2025 - Session 01 - Transcript,,,,,,
PEP 2025,8,2,28 May 2025,Josh Keegan,Culture Club,Video,MWM May 2025 - Session 02 - Video,https://drive.google.com/file/d/1FVjxX-UW8Nx5r3Qx_8m5LXw8URWek2Lt/view?usp=drive_link,Done-A,NOPE,,,
PEP 2025,8,2,28 May 2025,Josh Keegan,Culture Club,Transcript,MWM May 2025 - Session 02 - Transcript,,,,,,
SUPEREVENT PEP 2025,9,1,11 June 2025,Chris Hill,LEVEL UP YOUR ONLINE CONTENT / MARKETING Q&A,Video,MWM June 2025 - Session 01 - Video,https://drive.google.com/file/d/1rXbaD2A1NmY2TzOVBVklXxsgkuSgP9rZ/view?usp=drive_link,,OK,,,
SUPEREVENT PEP 2026,9,1,11 June 2025,Chris Hill,LEVEL UP YOUR ONLINE CONTENT / MARKETING Q&A,Transcript,MWM June 2025 - Session 01 - Transcript,,,,,,
SUPEREVENT PEP 2027,9,2,25 June 2025,Katie Harvey,Culture Club,Video,MWM June 2025 - Session 02 - Video,,,,,,
SUPEREVENT PEP 2028,9,2,25 June 2025,Katie Harvey,Culture Club,Transcript,MWM June 2025 - Session 02 - Transcript,,,,,,
