Podcast Episode #,Type,Podcast Title,Guest(s),Date of Podcast,Date of Podcast,File Type,File Name,Drive Link,Completion,Issues,OPS Feedback,Transcription,,Podcast Info:  https://docs.google.com/spreadsheets/d/1adks5SRjZncKi1wEZ7lLQu6-bbx_7UbV/edit?gid=2111867383#gid=2111867383
11,The Blueprint Podcast,The UK Economy - What is ACTUALLY happening out there?,Daniel Hill and Billy Turriff ,2-Jun-2020,Tuesday 2nd June 2020,Audio,POD 2020 - Episode 011 - Audio,PE_11_Edited.mp3,Done-A,,,,,
12,The Blueprint Podcast,Karma Credits - THIS will change your life.,Daniel Hill,9-Jun-2020,Tuesday 9th June 2020,Audio,POD 2020 - Episode 012 - Audio,PE_12_Edited.mp3,Done-A,,,,,
13,The Blueprint Podcast,From Start Up to Scale Up ,Daniel Hill and Akash Vaghela,7-Jul-2020,Tuesday 7th July 2020,Audio,POD 2020 - Episode 013 - Audio,PE_13_Edited.mp3,Done-A,,,,,
14,The Blueprint Podcast,"The UK Economy, Recession & Recovery",Daniel Hill,,,Audio,POD 2020 - Episode 014 - Audio,PE_14_Edited.mp3,Done-A,,,,,
15,The Blueprint Podcast,The Secret to Success,Daniel Hill ,21-Jul-2020,Tuesday 21st July 2020,Audio,POD 2020 - Episode 015 - Audio,PE_15_Edited.mp3,Done-A,,,,,
16,The Blueprint Podcast,"Mike Frisby interviews Daniel Hill, UK 'Entrepreneur of The Year' 2018",Dan and Mike Frisby ,29-Dec-2020,Tuesday 29th December 2020,Audio,POD 2020 - Episode 016 - Audio,PEP_16_Mike_Frisby_Edited.mp3,Done-A,,,,,
17,The Blueprint Podcast,UK Economy and Property Market Predictions 2021,Dan Solo,4-Jan-2021, 4th January 2021 ,Audio,POD 2021 - Episode 017 - Audio,PEP_17_Edited.mp3,Done-A,,,,,
18,The Blueprint Podcast,2021 : 4 Reasons Why you Don't Stand a Chance,Daniel Hill  ,12-Jan-2021,Tuesday 12th January 2021 ,Audio,POD 2021 - Episode 018 - Audio,PEP_18_Edited.mp3,Done-A,,,,,
19,The Blueprint Podcast,2021 : Purpose Driven Living,Daniel Hill  ,19-Jan-2021,Tuesday 19th January 2021 ,Audio,POD 2021 - Episode 019 - Audio,PEP_19_Edited.mp3,Done-A,,,,,
20,The Blueprint Podcast,BEAST MODE,Daniel Hill and Akash ,26-Jan-2021,Tuesday 26th January 2021 ,Audio,POD 2021 - Episode 020 - Audio,PEP_20_Edited.mp3,Done-A,,,,,
21,The Blueprint Podcast,BACK YOURSELF,Daniel Hill and Susan Morrice,2-Feb-2021,Tuesday 2nd February 2021 ,Audio,POD 2021 - Episode 021 - Audio,PEP_21_Edited.mp3,Done-A,,,,,
22,The Blueprint Podcast,BOUNCE BACK BOOM ,Daniel Hill Bounce Back Boom Branding ,20-Apr-2021,Tuesday 20th April 2021 ,Audio,POD 2021 - Episode 022 - Audio,PEP_22_Edited.mp3,Done-A,,,,,
23,The Blueprint Podcast,The Five Steps to Success,Daniel Hill  ,1-Jun-2021,Tuesday 1st June 2021 ,Audio,POD 2021 - Episode 023 - Audio,PEP_23_Edited.mp3,Done-A,,,,,
24,The Blueprint Podcast,Rich Bad Wealthy Good,Daniel Hill  ,8-Jun-2021,Tuesday 8th June 2021 ,Audio,POD 2021 - Episode 024 - Audio,PEP_24_why_wanting_to_be_rich_Edited_v2.mp3,Done-A,,,,,
25,Hall of Fame,Hall of Fame Shiv Haria Lifestyle Property People ,Daniel Hill & Shiv Haria,15-Jun-2021,Tuesday 15th June 2021 ,Audio,POD 2021 - Episode 025 - Audio,PEP_25_Edited.mp3,Done-A,,,,,
26,The Blueprint Podcast,Your Health,Daniel Hill  ,22-Jun-2021,Tuesday 22nd June 2021 ,Audio,POD 2021 - Episode 026 - Audio,PEP_26_Edited.mp3,Done-A,,,,,
27,Hall of Fame,From Corporate Machine to Living the Dream : Hall of Fame Rachael Davis ,Adam Goff and Rachael Davis,29-Jun-2021,Tuesday 29th June 2021 ,Audio,POD 2021 - Episode 027 - Audio,PEP_27_Edited.mp3,Done-A,,,,,
28,The Blueprint Podcast,The Blueprint,Daniel Hill  ,6-Jul-2021,Tuesday 6th July 2021 ,Audio,POD 2021 - Episode 028 - Audio,PEP_28_Edited_v3.mp3,Done-A,,,,,
29,The Blueprint Podcast,The Championship Season,Daniel Hill  ,9-Jul-2021,Friday 9th July 2021 ,Audio,POD 2021 - Episode 029 - Audio,PEP_29_Edited.mp3,Done-A,,,,,
30,Hall of Fame,Retired at 37 - Hall of Fame Adam Goff,Daniel Hill  & Adam Goff,13-Jul-2021,Tuesday 13th July 2021 ,Audio,POD 2021 - Episode 030 - Audio,PEP_30_Edited.mp3,Done-A,,,,,
31,The Blueprint Podcast,The Sheep of Society,Daniel Hill  ,20-Jul-2021,Tuesday 20th July 2021 ,Audio,POD 2021 - Episode 031 - Audio,PEP_31_Edited.mp3,Done-A,,,,,
32,Hall of Fame,Hall of Fame Kevin Edge,Daniel Hill & Kevin Edge,27-Jul-2021,Tuesday 27th July 2021 ,Audio,POD 2021  - Episode 032 - Audio,PEP_32_Edited.mp3,Done-A,,,,,
33,The Blueprint Podcast,How To Save A Life ,Daniel Hill  ,3-Aug-2021,Tuesday 3rd August 2021 ,Audio,POD 2021 - Episode 033 - Audio,PEP_33_Edited.mp3,Done-A,,,,,
34,Hall of Fame,Hall of Fame: Mr Dan Norman,Adam Goff and Dan Norman,10-Aug-2021,Tuesday 10th August 2021 ,Audio,POD 2021 - Episode 034 - Audio,PEP_34_Edited.mp3,Done-A,,,,,
35,The Blueprint Podcast,No Problems Only Solutions,Daniel Hill  ,17-Aug-2021,Tuesday 17th August 2021 ,Audio,POD 2021 - Episode 035 - Audio,PEP_35_Edited.mp3,Done-A,,,,,
36,Hall of Fame,Hall of Fame: Bernadette & Ian Lloyd,"Josh Keegan, Ian and Bernadette Lloyed",24-Aug-2021,Tuesday 24th August 2021,Audio,POD 2021 - Episode 036 - Audio,PEP_36_Edited.mp3,Done-A,,,,,
37,6 Rounds,Six Rounds with Adam Goff and Josh Keegan,Adam Goff and Josh Keegan,31-Aug-2021,Tuesday 31st August 2021 ,Audio,POD 2021 - Episode 037 - Audio,PEP_37_Edited.mp3,Done-A,,,,,
38,Hall of Fame,Hall of Fame: Ollie Ibbotson,Adam Goff and Ollie Ibbotson,7-Sep-2021,Tuesday 7th September 2021 ,Audio,POD 2021 - Episode 038 - Audio,PEP_38_Edited.mp3,Done-A,,,,,
39,The Blueprint Podcast,The Margins You're Missing,Daniel Hill  ,14-Sep-2021,Tuesday 14th September 2021 ,Audio,POD 2021 - Episode 039 - Audio,PEP_39_Edited_v2.mp3,Done-A,,,,,
40,Hall of Fame,Hall of Fame: Rupal Patel,Josh Keegan and Rupal Patel,21-Sep-2021,Tuesday 21st September 2021 ,Audio,POD 2021 - Episode 040 - Audio,PEP_40_Edited.mp3,Done-A,,,,,
41,The Blueprint Podcast,Retired at 35,Daniel Hill,28-Sep-2021,Tuesday 28th September 2021 ,Audio,POD 2021 - Episode 041 - Audio,PEP_41_Edited.mp3,Done-A,,,,,
42,The Blueprint Podcast,Where is there,Daniel Hill,5-Oct-2021,Tuesday 5th October 2021 ,Audio,POD 2021 - Episode 042 - Audio,PEP_42_Edited.mp3,Done-A,,,,,
43,The Blueprint Podcast,Rise of the Six Figure Lifestyle Entrepreneurs,Josh Keegan,12-Oct-2021,Tuesday 12th October 2021 ,Audio,POD 2021 - Episode 043 - Audio,PEP_43_Edited.mp3,Done-A,,,,,
44,The Blueprint Podcast,The Let Down Effect,Daniel Hill  ,19-Oct-2021,Tuesday 19th October 2021 ,Audio,POD 2021 - Episode 044 - Audio,PEP_44_Edited.mp3,Done-A,,,,,
45,The Blueprint Podcast,The Bonus Brain Ache,Daniel Hill  ,26-Oct-2021,Tuesday 26th October 2021 ,Audio,POD 2021 - Episode 045 - Audio,PEP_45_Edited.mp3,Done-A,,,,,
46,The Blueprint Podcast,Simple Stress Solutions,Daniel Hill  ,2-Nov-2021,Tuesday 2nd November 2021 ,Audio,POD 2021 - Episode 046 - Audio,PEP_46_Edited.mp3,Done-A,,,,,
47,The Blueprint Podcast,The Ten Year Rule,Daniel Hill  ,9-Nov-2021,Tuesday 9th November 2021 ,Audio,POD 2021 - Episode 047 - Audio,PEP_47_Edited.mp3,Done-A,,,,,
48,Hall of Fame,Time to Exit,"Adam Goff, Sarah, Ian & Bernadette Lloyd",16-Nov-2021,Tuesday 16th November 2021 ,Audio,POD 2021 - Episode 048 - Audio,PEP_48_Edited.mp3,Done-A,,,,,
49,The Blueprint Podcast,The Task Triangle,Daniel Hill  ,23-Dec-2021,Tuesday 23rd November 2021 ,Audio,POD 2021 - Episode 049 - Audio,PEP_49_Edited.mp3,Done-A,,,,,
50,Hall of Fame,"Step Change Your Business, Step Change Your Life",Josh Keegan and Guillaume Black,30-Dec-2021,Tuesday 30th November 2021 ,Audio,POD 2021 - Episode 050 - Audio,PEP_50_Edited.mp3,Done-A,,,,,
51,The Blueprint Podcast,Raise your Rate,Daniel Hill  ,7-Dec-2021,Tuesday 7th December 2021 ,Audio,POD 2021 - Episode 051 - Audio,PEP_51_Edited.mp3,Done-A,,,,,
52,The Blueprint Podcast,The Lazy Deal Sourcer,Mark Barrett & Daniel Hill ,14-Dec-2021,Tuesday 14th December 2021 ,Audio,POD 2021 - Episode 052 - Audio,PEP_52_Edited.mp3,Done-A,,,,,
53,The Blueprint Podcast,The One Word,Daniel Hill  ,21-Dec-2021,Tuesday 21st December 2021 ,Audio,POD 2021 - Episode 053 - Audio,PEP_53_Edited.mp3,Done-A,,,,,
54,The Blueprint Podcast,Fire Up The Flywheel,Daniel Hill  ,28-Dec-2021,Tuesday 28th December 2021 ,Audio,POD 2021 - Episode 054 - Audio,PEP_54_Edited.mp3,Done-A,,,,,
55,The Blueprint Podcast,"Award Winning Property Conversion
",Mark Barrett & Andy Babbayan,1-Jan-2022,Saturday 1st January 2022,Audio,POD 2022 - Episode 055 - Audio,PEP_55_Edited_v2.mp3,Done-A,,,,,
56,The Blueprint Podcast,Everyone's a Winner,Daniel Hill  ,4-Jan-2022,Tuesday 4th January 2022,Audio,POD 2022 - Episode 056 - Audio,PEP_56_Edited.mp3,Done-A,,,,,
57,The Blueprint Podcast,Strategy Day,Daniel Hill  ,11-Jan-2022,Tuesday 11th January,Audio,POD 2022 - Episode 057 - Audio,PEP_57_Edited.mp3,Done-A,,,,,
58,The Blueprint Podcast,2022 Economic Forecast,Daniel Hill ,18-Jan-2022,Tuesday 18th January,Audio,POD 2022 - Episode 058 - Audio,PEP_58_Edited.mp3,Done-A,,,,,
59,The Blueprint Podcast,Speak My Language,Daniel Hill ,25-Jan-2022,Tuesday 25th January,Audio,POD 2022 - Episode 059 - Audio,PEP_59_Edited.mp3,Done-A,,,,,
60,The Blueprint Podcast,Commercial Multi-Let Deal,Mark Barrett & Billy Turriff,1-Feb-2022,Tuesday 1st February,Audio,POD 2022 - Episode 060 - Audio,PEP_60_Edited.mp3,Done-A,,,,,
61,The Blueprint Podcast,Don't Quote Me On This,Daniel Hill ,8-Feb-2022,Tuesday 8th February,Audio,POD 2022 - Episode 061 - Audio,PEP_61_Edited.mp3,Done-A,,,,,
62,The Blueprint Podcast,My Top 5 Book Review,Daniel Hill ,15-Feb-2022,Tuesday 15th February,Audio,POD 2022 - Episode 062 - Audio,PEP_62_Edited.mp3,Done-A,,,,,
63,The Blueprint Podcast,2022 Interest Rates vs Inflation,Daniel Hill ,22-Feb-2022,Tuesday 22nd February,Audio,POD 2022 - Episode 063 - Audio,PEP_63a_Edited.mp3,Done-A,,,,,
64,The Blueprint Podcast,Commercial to Residential Conversion,Mark Barrett & Max Scott,1-Mar-2022,Tuesday 1st March,Audio,POD 2022 - Episode 064 - Audio,PEP_64_Edited.mp3,Done-A,,,,,
65,The Blueprint Podcast,Cleaning the Palate,Daniel Hill ,8-Mar-2022,Tuesday 8th March,Audio,POD 2022 - Episode 065 - Audio,PEP_65_Edited.mp3,Done-A,,,,,
66,The Blueprint Podcast,Five Levels of Leadership,Daniel Hill ,15-Mar-2022,Tuesday 15th March,Audio,POD 2022 - Episode 066 - Audio,PEP_66_Edited.mp3,Done-A,,,,,
67,The Blueprint Podcast,The Man Behind the Mic,Daniel Hill and Mo Haykir,22-Mar-2022,Tuesday 22nd March,Audio,POD 2022 - Episode 067 - Audio,PEP_67_Edited.mp3,Done-A,,,,,
68,The Blueprint Podcast,Hunt Like a Lion,Daniel Hill ,29-Mar-2022,Tuesday 29th March,Audio,POD 2022 - Episode 068 - Audio,PEP_68_Edited.mp3,Done-A,,,,,
69,The Blueprint Podcast,Building a £2m Buy To Let Portfolio,Mark Barrett & Shiv Haria,1-Apr-2022,Friday 1st April,Audio,POD 2022 - Episode 069 - Audio,PEP_69_Edited.mp3,Done-A,,,,,
70,The Blueprint Podcast,Be Someone Worth Remembering,Daniel Hill ,5-Apr-2022,Tuesday 5th April,Audio,POD 2022 - Episode 070 - Audio,PEP_70_Edited.mp3,Done-A,,,,,
71,The Blueprint Podcast,Is Success Actually Predictable?,Daniel Hill and Ant Lyons,12-Apr-2022,Tuesday 12th April,Audio,POD 2022 - Episode 071 - Audio,PEP_71_Edited.mp3,Done-A,,,,,
72,The Blueprint Podcast,TITLE : FINANCIAL FORTRESS  - The Basics,Daniel Hill ,19-Apr-2022,Tuesday 19th April,Audio,POD 2022 - Episode 072 - Audio,PEP_72_Edited.mp3,Done-A,,,,,
73,The Blueprint Podcast,Hold My Pint,Daniel Hill ,26-Apr-2022,Tuesday 26th April,Audio,POD 2022 - Episode 073 - Audio,PEP_73_Edited.mp3,Done-A,,,,,
74,Deals Deals Deal,Adding Value and Increasing Rents,Mark Barrett & Suzi Carter,1-May-2022,Sunday 1st May,Audio,POD 2022 - Episode 074 - Audio,PEP_74_Edited.mp3,Done-A,,,,,
75,The Blueprint Podcast,"Define, Delegate, Done",Daniel Hill ,3-May-2022,Tuesday 3rd May,Audio,POD 2022 - Episode 075 - Audio,PEP_75_Edited.mp3,Done-A,,,,,
76,The Blueprint Podcast,Boom or Bust,Daniel Hill ,10-May-2022,Tuesday 10th May,Audio,POD 2022 - Episode 076 - Audio,PEP_76_Edited.mp3,Done-A,,,,,
77,The Blueprint Podcast,Sex Appeal,Daniel Hill ,17-May-2022,Tuesday 17th May,Audio,POD 2022 - Episode 077 - Audio,PEP_77_Edited.mp3,Done-A,,,,,
78,The Blueprint Podcast,"Level Up, Level Up, Level Up",Daniel Hill ,24-May-2022,Tuesday 24th May,Audio,POD 2022 - Episode 078 - Audio,PEP_78_Edited.mp3,Done-A,,,,,
79,The Blueprint Podcast,Self Awareness,Daniel Hill ,31-May-2022,Tuesday 31st May,Audio,POD 2022 - Episode 079 - Audio,PEP_79_Edited.mp3,Done-A,,,,,
80,Deals Deals Deal,From Extensions to New Build Developments,Mark Barrett & Kevin Edge,1-Jun-2022,Wednesday 1st June,Audio,POD 2022 - Episode 080 - Audio,PEP_80_Edited_v2.mp3,Done-A,,,,,
81,The Blueprint Podcast,What's your problem?,Daniel Hill ,7-Jun-2022,Tuesday 7th June,Audio,POD 2022 - Episode 081 - Audio,PEP_81_Edited.mp3,Done-A,,,,,
82,The Blueprint Podcast,The Championship Season,Daniel Hill ,14-Jun-2022,Tuesday 14th June,Audio,POD 2022 - Episode 082 - Audio,PEP_82_Edited.mp3,Done-A,,,,,
83,The Blueprint Podcast,Recession is coming,Daniel Hill ,21-Jun-2022,Tuesday 21st June,Audio,POD 2022 - Episode 083 - Audio,PEP_83_Edited_v3.mp3,Done-A,,,,,
84,The Blueprint Podcast,Beast Mode,Daniel Hill ,28-Jun-2022,Tuesday 28th June,Audio,POD 2022 - Episode 084 - Audio,PEP_84_Edited.mp3,Done-A,,,,,
85,Deals Deals Deal,Office Conversion into 5 Bed House Share,Mark Barrett & Garrett Peers,1-Jul-2022,Friday 1st July,Audio,POD 2022 - Episode 085 - Audio,PEP_85_Edited.mp3,Done-A,,,,,
86,The Blueprint Podcast,The Meaning of Life,Daniel Hill ,5-Jul-2022,Tuesday 5th July,Audio,POD 2022 - Episode 086 - Audio,PEP_86_Edited.mp3,Done-A,,,,,
87,The Blueprint Podcast,The Game,Daniel Hill ,12-Jul-2022,Tuesday 12th July,Audio,POD 2022 - Episode 087 - Audio,PEP_87_Edited.mp3,Done-A,,,,,
88,The Blueprint Podcast,Decision Fatigue,Daniel Hill ,19-Jul-2022,Tuesday 19th July,Audio,POD 2022 - Episode 088 - Audio,PEP_88_Edited.mp3,Done-A,,,,,
89,Hall of Fame,"THE ELITE ATHLETIC, THE ENTREPRENEURIAL EXIT & THE FAMILY MAN",Adam Goff and Ian Bower,26-Jul-2022,Tuesday 26th July,Audio,POD 2022 - Episode 089 - Audio,PEP_89_Edited.mp3,Done-A,Adam Goff is NOT present,Adam is indeed the Host,,,
90,Deals Deals Deal,The £10m Deal That The Masses Missed,Mark Barrett & Daniel Hill,1-Aug-2022,Monday 1st August,Audio,POD 2022 - Episode 090 - Audio,PEP_90_Edited.mp3,Done-A,,,,,
91,The Blueprint Podcast,My Question Is...,Daniel Hill ,2-Aug-2022,Tuesday 2nd August,Audio,POD 2022 - Episode 091 - Audio,PEP_91_Edited.mp3,Done-A,,,,,
92,6 Rounds,Six Rounds with Daniel Hill,Daniel Hill and Ian Bower,9-Aug-2022,Tuesday 9th August,Audio,POD 2022 - Episode 092 - Audio,PEP_92_6R_Ian_Bower_Edited.mp3,Done-A,,,,,
93,Hall of Fame,A Life Transformed,Adam Goff and Mark Shaw,15-Aug-2022,Monday 15th August,Audio,POD 2022 - Episode 093 - Audio,PEP_93_Edited.mp3,Done-A,,,,,
94,The Blueprint Podcast,Know Your Place,Daniel Hill ,16-Aug-2022,Tuesday 16th August,Audio,POD 2022 - Episode 094 - Audio,PEP_94_Edited.mp3,Done-A,,,,,
95,The Blueprint Podcast,No Money Down Deals,Daniel Hill and Simon Zutshi,23-Aug-2022,Tuesday 23rd August,Audio,POD 2022 - Episode 095 - Audio,PEP_95_Edited.mp3,Done-A,,,,,
96,The Blueprint Podcast,Living Off The Steam,Daniel Hill ,30-Aug-2022,Tuesday 30th August,Audio,POD 2022 - Episode 096 - Audio,PEP_96_Edited.mp3,Done-A,,,,,
97,Deals Deals Deal,"Started, Scaled, Systemised and Sold in Six Years",Mark Barrett and Josh Keegan,1-Sep-2022,Thursday 1st September,Audio,POD 2022 - Episode 097 - Audio,PEP_97_Edited.mp3,Done-A,,,,,
98,The Blueprint Podcast,2022 My Year of Searching,Daniel Hill ,6-Sep-2022,Tuesday 6th September,Audio,POD 2022 - Episode 098 - Audio,PEP_98_Edited.mp3,Done-A,,,,,
99,The Blueprint Podcast,Hot Spotting,Daniel Hill ,13-Sep-2022,Tuesday 13th September,Audio,POD 2022 - Episode 099 - Audio,PEP_99_Edited.mp3,Done-A,,,,,
100,The Blueprint Podcast,,,,,Audio,POD 2022 - Episode 100 - Audio,No Episode found,,,,,,
101,The Blueprint Podcast,36 Game Changers @36,Daniel Hill ,20-Sep-2022,Tuesday 20th September,Audio,POD 2022 - Episode 101 - Audio,PEP_101_Edited.mp3,Done-A,,,,,
102,The Blueprint Podcast,Negotiate Everything,Daniel Hill ,27-Sep-2022,Tuesday 27th September,Audio,POD 2022 - Episode 102 - Audio,PEP_102_Edited.mp3,Done-A,,,,,
103,Deals Deals Deal,"176,000 Sq Ft Commercial Deal with €7m Value Add",Mark Barrett and Max Scott,1-Oct-2022,Saturday 1st October,Audio,POD 2022 - Episode 103 - Audio,PEP_103_Edited.mp3,Done-A,,,,,
104,The Blueprint Podcast,Karma Credits,Daniel Hill ,4-Oct-2022,Tuesday 4th October,Audio,POD 2022 - Episode 104 - Audio,PEP_104_Edited.mp3,Done-A,,,,,
105,The Blueprint Podcast,Soul Purpose,Daniel Hill ,11-Oct-2022,Tuesday 11th October,Audio,POD 2022 - Episode 105 - Audio,PEP_105_Soul_Purpose_Edited_v2.mp3,Done-A,,,,,
106,The Blueprint Podcast,30 Million Views,Josh Keegan and Huw Davies,15-Oct-2022,Saturday 15th October,Audio,POD 2022 - Episode 106 - Audio,PEP_106_Edited.mp3,Done-A,,,,,
107,The Blueprint Podcast,Let's talk about SSAS Baby!!!,Daniel Hill and Kevin Whelan,18-Oct-2022,Tuesday 18th October,Audio,POD 2022 - Episode 107 - Audio,PEP_107_Edited.mp3,Done-A,,,,,
108,The Blueprint Podcast,"New Season, New Schedule",Daniel Hill ,25-Oct-2022,Tuesday 25th October,Audio,POD 2022 - Episode 108 - Audio,PEP_108_Edited.mp3,Done-A,,,,,
109,Deals Deals Deal,The Fireworks Factory - A Banger of a Deal!,Mark Barrett and Jen Barron,1-Nov-2022,Tuesday 1st November,Audio,POD 2022 - Episode 109 - Audio,PEP_109_Edited.mp3,Done-A,,,,,
110,The Blueprint Podcast,To Me To You,Daniel Hill ,8-Nov-2022,Tuesday 8th November,Audio,POD 2022 - Episode 110 - Audio,PEP_110_Edited.mp3,Done-A,,,,,
111,The Blueprint Podcast,"Started, Systemised, Scaled & Sold
",Adam Goff & Mark Barrett,15-Nov-2022,Tuesday 15th November,Audio,POD 2022 - Episode 111 - Audio,PEP_111_Edited.mp3,Done-A,,,,,
112,The Blueprint Podcast,Broke to Ballin,Daniel Hill ,22-Nov-2022,Tuesday 22nd November,Audio,POD 2022 - Episode 112 - Audio,PEP_112_Edited.mp3,Done-A,,,,,
113,The Blueprint Podcast,10 Lessons Learned,Daniel Hill ,29-Nov-2022,Tuesday 29th November,Audio,POD 2022 - Episode 113 - Audio,PEP_113_New_Edited.mp3,Done-A,,,,,
114,Deals Deals Deal,A Commercial Conversion with a bonus £1.5m profit,Mark Barrett and Murat Haykir,1-Dec-2022,Thursday 1st December,Audio,POD 2022 - Episode 114 - Audio,PEP_114_Edited.mp3,Done-A,,,,,
115,The Blueprint Podcast,Dopamine Detox,Daniel Hill ,6-Dec-2022,Tuesday 6th December,Audio,POD 2022 - Episode 115 - Audio,PEP_115_Edited.mp3,Done-A,,,,,
116,The Blueprint Podcast,Choose Your Challenges,Daniel Hill ,13-Dec-2022,Tuesday 13th December,Audio,POD 2022 - Episode 116 - Audio,PEP_116_Edited.mp3,Done-A,,,,,
117,The Blueprint Podcast,90%+ Margins Gained & 35kgs of Body Weight Lost,Mark Shaw,15-Dec-2022,Thursday 15th December,Audio,POD 2022 - Episode 117 - Audio,PEP_117_Edited2.mp3,Done-A,Josh is not in podcast,"This podcast is a direct recording from Mark's Workshop Presentation so its just Mark who speaks (Adam introduces him at the very beginning only). We can therefore remove Josh's name, which I have removed under column D.

Yolanda, please update the PE Podcast 2024 Spreadsheet to match - I only have view access",,,
118,The Blueprint Podcast,My Xmas Gift,Daniel Hill ,20-Dec-2022,Tuesday 20th December,Audio,POD 2022 - Episode 118 - Audio,PEP_118_Edited.mp3,Done-A,,,,,
119,The Blueprint Podcast,Your AAA Game,Daniel Hill ,27-Dec-2022,Tuesday 27th December,Audio,POD 2022 - Episode 119 - Audio,PEP_119_Edited.mp3,Done-A,,,,,
120,Deals Deals Deal,Mr Santa Makes £600k+ On One Deal!!!,Mark Barrett and Rohit Santa,1-Jan-2023,Sunday 1st January 2023,Audio,POD 2023 - Episode 120 - Audio,PEP_120_Edited.mp3,Done-A,,,,,
121,The Blueprint Podcast,New Year New You,Daniel Hill ,3-Jan-2023,Tuesday 3rd January,Audio,POD 2023 - Episode 121 - Audio,PEP_121_Edited.mp3,Done-A,,,,,
122,The Blueprint Podcast,Dan Hill's Top 5 2023 Predictions,Daniel Hill ,10-Jan-2023,Tuesday 10th January,Audio,POD 2023 - Episode 122 - Audio,PEP_122_Edited.mp3,Done-A,,,,,
123,The Blueprint Podcast,Corporate Career to Full Time Investor,Adam Goff and Billy Turriff,15-Jan-2023,Sunday 15th January,Audio,POD 2023 - Episode 123 - Audio,PEP_123_Edited.mp3,Done-A,,,,,
124,The Blueprint Podcast,Walk The Line,Daniel Hill ,17-Jan-2023,Tuesday 17th January,Audio,POD 2023 - Episode 124 - Audio,PEP_124_Edited.mp3,Done-A,,,,,
125,The Blueprint Podcast,10 Layers of Wealth,Daniel Hill ,24-Jan-2023,Tuesday 24th January,Audio,POD 2023 - Episode 125 - Audio,PEP_125_Edited.mp3,Done-A,,,,,
126,The Blueprint Podcast,2023 My Year Of...,Daniel Hill ,31-Jan-2023,Tuesday 31st January,Audio,POD 2023 - Episode 126 - Audio,PEP_126_Edited.mp3,Done-A,,,,,
127,Deals Deals Deal,How To Make £160k With A No Money Left In Deal,Mark Barrett and Martyn Woolford ,1-Feb-2023,Wednesday 1st February,Audio,POD 2023 - Episode 127 - Audio,PEP_127_Edited.mp3,Done-A,,,,,
128,The Blueprint Podcast,The Bonus Brain Ache,Daniel Hill ,7-Feb-2023,Tuesday 7th February,Audio,POD 2023 - Episode 128 - Audio,PEP_128_Edited.mp3,Done-A,,,,,
129,The Blueprint Podcast,Why Buy Private Schools...?,Daniel Hill ,14-Feb-2023,Tuesday 14th February,Audio,POD 2023 - Episode 129 - Audio,PEP_129_Edited.mp3,Done-A,,,,,
